id,uid,region,city,state,country,name,address,latitude,longitude,pincode,chargerType,appName,cpoName,customerCategory,megaChargers
"1","","West3","Ahmedabad","Gujarat","INDIA","AMC Narol ","Below Narol Flyover, Nr. Narol BRTS Sation, Narol, Ahmedabad, Gujarat, 382405 ","22.9731180611156","72.5892582244468","382405","CCS2","Mobilane","Mobilane","public","false"
"2","","West3","Ahmedabad","Gujarat","INDIA","AMC Govindwadi ","AMC Open Plot, Nr. Topaz Restaurant, Govindwadi, Isanpur, Ahmedabad, Gujarat 382443 ","22.9829493072428","72.5993953071482","382443","CCS2","Mobilane","Mobilane","public","false"
"3","","West3","Ahmedabad","Gujarat","INDIA","Patidar Bhavan, Ambaji","Arsuri Society, Ambaji, Gujarat 385110","24.3345728682775","72.8459170280126","385110","CCS2","Mobilane","Mobilane","public","false"
"4","","West3","Bhilad","Gujarat","INDIA","Hotel Golden Gate","NH-48, Nandigaam, Taluka - Umargaam, Nandigam, Bhilad Gujarat 396105","20.2352814833364","72.8837166822088","396105","CCS2","Mobilane","Mobilane","public","false"
"5","","West3","Limbdi","Gujarat","INDIA","NH 8 Hotel & Restauran","NH-47, Baldana, Limbdi, Gujarat 363421","22.5659511716337","71.7078190133887","363421","CCS2","Mobilane","Mobilane","public","false"
"6","","West2","Daman","Dadra and Nagar Haveli and Daman and Diu","INDIA","Urbane By Treat","Ringanwada, Vapi, Dadra and Nagar Haveli and Daman and Diu 396215","20.4115168435517","72.8666554802022","396215","CCS2","Mobilane","Mobilane","public","false"
"7","","West1","Nasik","Maharashtra","INDIA","Manohar Gardens Lawns & Banquet Halls","Nashik, MaharashtraGovind Nagar, Nashik, Maharashtra 422009","19.9805139409165","73.7794789974369","422009","CCS2","Mobilane","Mobilane","public","false"
"8","","West3","Mehsana","Gujarat","INDIA","Bliss Aqua World","Mehsana - Unjha Highway Road, Motidau, Gujarat 384120","23.6679152102389","72.3837500616272","384120","CCS2","Mobilane","Mobilane","public","false"
"9","","South2","Kanchipuram","Tamil Nadu","INDIA","MM Legacy, A Bergmont Hotel","MM Legacy, A Bergmont Hotel","12.8707867559011","79.723669335582","","CCS2","Relux Electric","Relux Electric","public","false"
"10","","South2","Chennai","Tamil Nadu","INDIA","Cosmo politan Club","Cosmo politan Club","13.0667103463999","80.2695188067461","","CCS2","Relux Electric","Relux Electric","public","false"
"11","","South2","Coimbatore","Tamil Nadu","INDIA","SST Charging Station","SST Charging Station","11.0689409679761","77.100115937873","","CCS2","Relux Electric","Relux Electric","public","false"
"12","","South2","Ambur","Tamil Nadu","INDIA","Sri Annapoorna Restaurant","Sri Annapoorna Restaurant","12.8157171162699","78.731427615056","","CCS2","Relux Electric","Relux Electric","public","false"
"13","","South2","Trichy","Tamil Nadu","INDIA","Vasan Charging station","Vasan Charging station","10.6523193602168","78.7421587667024","","CCS2","Relux Electric","Relux Electric","public","false"
"14","","South2","Acharapakkam","Tamil Nadu","INDIA","Hotel Aaryas","Hotel Aaryas","12.3855773142118","79.795962662909","","CCS2","Relux Electric","Relux Electric","public","false"
"15","","South2","Padi","Tamil Nadu","INDIA","The Legend Saravana Store","The Legend Saravana Store","13.1010373310474","80.19020932509","","CCS2","Relux Electric","Relux Electric","public","false"
"16","","South2","Mettupatti, salem","Tamil Nadu","INDIA","Mettupatti Toll Plaza","Mettupatti Toll Plaza","11.6651053822319","78.3117673043916","","CCS2","Relux Electric","Relux Electric","public","false"
"17","","South2","Kallakurichi","Tamil Nadu","INDIA","Veeracholapuram Toll Plaza","Veeracholapuram Toll Plaza","11.736615288203","79.0095055943937","","CCS2","Relux Electric","Relux Electric","public","false"
"18","","South2","Maduravoyal","Tamil Nadu","INDIA","MGR University","MGR University","13.0695033983475","80.1780038115959","","CCS2","Relux Electric","Relux Electric","public","false"
"19","","South2","Pollachi","Tamil Nadu","INDIA","Siva selvi charging station","Siva selvi charging station","10.7272567802728","76.9299460397158","","CCS2","Relux Electric","Relux Electric","public","false"
"20","","South2","Vellore","Tamil Nadu","INDIA","Hotel Benzz Park","Hotel Benzz Park","12.9293346239805","79.1335248846069","","CCS2","Relux Electric","Relux Electric","public","false"
"21","","Central1","Thotacherla","Andhra Pradesh","INDIA","MQ Cafe, Thotacherla, Andhra Pradesh","NH 65, LEFT SIDE, Thotacherla, Totacharla, Andhra Pradesh 521185","16.8117316895399","80.24976625","521185","CCS2","E-Fill","E-Fill Electric (EFEV Charging Solutions Pvt. Ltd.)","public","false"
